Elongation,Force,?,Time,
35.11283547,5.101365566,13.44260573,0.176249997,
35.22277251,5.243183136,13.46584316,0.176799997,
35.33284366,5.196971416,13.51231802,0.177349997,
35.44273227,5.247072697,13.62850145,0.177899996,
35.55285558,5.11259985,13.73306848,0.178449996,
35.66279262,5.139653206,13.61688413,0.178999996,
35.77286378,5.133276939,13.77954334,0.179549996,
35.88289768,4.975643158,13.79116159,0.180099996,
35.99292412,5.186728477,13.76792416,0.180649996,
36.10290587,5.2797122,13.77954334,0.181199996,
36.21298075,5.28020525,13.81439902,0.181749996,
36.32296249,5.238636017,13.93058337,0.182299995,
36.43299267,5.205848217,14.07000516,0.182849995,
36.54288128,5.31135416,14.01191205,0.183399995,
36.65295616,5.285834312,14.02353123,0.183949995,
36.7628932,5.405322075,14.05838691,0.184499995,
36.87296808,5.338917732,14.13971651,0.185049995,
36.98294982,5.41245985,14.19780962,0.185599995,
37.09288314,5.369113445,14.26752005,0.186149995,
37.20296174,5.352011204,14.26752005,0.186699994,
37.31289506,5.31511116,14.2791383,0.187249994,
37.42292523,5.344457626,14.29075748,0.187799994,
37.53290698,5.36139822,14.31399304,0.188349994,
37.64288872,5.506379128,14.3604679,0.188899994,
37.7529189,5.306929588,14.49989062,0.189449994,
37.86294535,5.393065453,14.49989062,0.189999994,
37.97292709,5.467086315,14.51150794,0.190549994,
38.08295354,5.484630585,14.56960104,0.191099993,
38.19298372,5.379132748,14.58121929,0.191649993,
38.30296546,5.434903145,14.59283847,0.192199993,
38.4128578,5.457297802,14.63931147,0.192749993,
38.52297738,5.385002136,14.76711594,0.193299993,
38.6329107,5.432300568,14.81358893,0.193849993,
38.7429446,5.432142735,14.76711594,0.194399993,
38.85287791,5.548079491,14.84844461,0.194949992,
38.96295279,5.482607365,14.86006379,0.195499992,
39.07288611,5.571323872,14.87168204,0.196049992,
39.18292001,5.56770277,14.90653679,0.196599992,
39.2928496,5.495203018,14.97624908,0.197150008,
39.4029282,5.389737129,15.11566993,0.197700008,
39.51281682,5.581210136,15.08081518,0.198250008,
39.62294012,5.556991577,15.11566993,0.198800008,
39.73287344,5.592991829,15.12728911,0.199350007,
39.84290361,5.524240971,15.13890736,0.199900007,
39.9527885,5.769783974,15.23185521,0.200450007,
40.06295651,5.537809372,15.35965875,0.201000007,
40.17284885,5.676525116,15.33642225,0.201550007,
40.28287902,5.669105053,15.33642225,0.202100007,
40.39286077,5.5426054,15.44098835,0.202650007,
40.50284252,5.744936466,15.46422578,0.203200006,
40.61286896,5.684211254,15.46422578,0.203750006,
40.72280601,5.816539288,15.49908053,0.204300006,
40.83288088,5.700331211,15.58041107,0.204850006,
40.94281793,5.69107151,15.69659449,0.205400006,
41.05284438,5.715758801,15.63850231,0.205950006,
41.16287082,5.665207863,15.70821367,0.206500006,
41.27285257,5.648846149,15.74306935,0.207050006,
41.38288647,5.757661343,15.74306935,0.207600005,
41.49281979,5.762115955,15.75468853,0.208150005,
41.60289466,5.862845421,15.78954235,0.208700005,
41.71282798,5.800709248,15.92896506,0.209250005,
41.82280973,5.856722355,15.96382074,0.209800005,
41.93284363,5.822615623,15.92896506,0.210350005,
42.04282537,5.914801598,15.94058424,0.210900005,
42.15285182,5.884654045,16.0335321,0.211450005,
42.26283357,5.863274574,16.14971645,0.212000004,
42.37286374,5.798043251,16.09162614,0.212550004,
42.48284549,5.731527805,16.18457213,0.213100004,
42.59278253,5.87753582,16.19619131,0.213650004,
42.70285368,5.921512604,16.20780863,0.214200004,
42.81283543,5.930389881,16.23104699,0.214750004,
42.9228656,5.975449562,16.31237566,0.215300004,
43.03284734,5.872616291,16.45179838,0.215850004,
43.14287752,6.00314188,16.40532538,0.216400003,
43.25285554,5.991462708,16.42856002,0.216950003,
43.36288944,6.002871513,16.46341756,0.217500003,
43.47287118,6.097980976,16.52150974,0.218050003,
43.58285293,5.975380898,16.59122109,0.218600003,
43.69287938,6.256284714,16.61445759,0.219150003,
43.80290955,6.19779253,16.62607491,0.219700003,
43.9128913,6.011696815,16.68416709,0.220250003,
44.02296618,6.016364574,16.75388031,0.220800002,
44.13285479,5.846357822,16.75388031,0.221350002,
44.24292967,6.182533264,16.8235898,0.221900002,
44.35291141,6.038742065,16.8235898,0.222450002,
44.46294159,6.108240128,16.83520898,0.223000002,
44.5728302,6.174406528,16.85844548,0.223550002,
44.68295351,6.155274391,16.96301252,0.224100002,
44.79288682,6.21326685,17.03272201,0.224650002,
44.902917,5.966634274,16.97462983,0.225200001,
45.01285031,6.108832359,17.00948738,0.225750001,
45.12292519,6.127092838,17.00948738,0.226300001,
45.23281381,6.264460087,17.04434119,0.226850001,
45.34279555,6.207675457,17.13728905,0.227400001,
45.45287415,6.157066345,17.25347526,0.227950001,
45.5628559,6.223083973,17.18376391,0.228500001,
45.67278922,6.218074799,17.26509258,0.229050001,
45.78281939,6.305393696,17.26509258,0.2296,
45.89280114,6.236466885,17.27671176,0.23015,
46.00283131,6.20994091,17.32318476,0.2307,
46.11290246,6.308524132,17.42775179,0.23125,
46.2228395,6.36549139,17.53231883,0.2318,
46.33291811,6.348199844,17.46260747,0.23235,
46.44280672,6.286579132,17.54393801,0.2329,
46.5529263,6.387066364,17.53231883,0.233449999,
46.66285962,6.243525982,17.55555533,0.233999999,
46.77284136,6.50668335,17.60203019,0.234549999,
46.88287526,6.368371964,17.70659722,0.235099999,
46.99285328,6.344703674,17.67174155,0.235649999,
47.10288346,6.396799088,17.7646894,0.236199999,
47.21281677,6.470106602,17.7879259,0.236749999,
47.32289538,6.539848804,17.79954322,0.237299999,
47.43287712,6.496209145,17.82277972,0.237849998,
47.54285887,6.467919827,17.88087375,0.238399998,
47.65288532,6.383926868,18.02029647,0.238949998,
47.76291549,6.472379208,17.89249294,0.239499998,
47.87289724,6.428035736,18.09000783,0.240049998,
47.98287898,6.546025276,18.05515029,0.240599998,
48.09290543,6.666552544,18.05515029,0.241149998,
48.20288718,6.593073845,18.06677133,0.241699998,
48.31292108,6.66356945,18.12486351,0.242249997,
48.42285439,6.546247959,18.241046,0.242799997,
48.5329777,6.533761024,18.2178095,0.243349997,
48.64281788,6.617477417,18.28752086,0.243899997,
48.75294119,6.538200378,18.32237653,0.244449997,
48.86287823,6.700700283,18.31075922,0.244999997,
48.97285998,6.737961769,18.32237653,0.245549997,
49.08288643,6.75414753,18.36885139,0.246099997,
49.19281974,6.539196014,18.51989143,0.246649996,
49.30289835,6.67950058,18.48503761,0.247199996,
49.41278324,6.638162613,18.47341657,0.247749996,
49.52286184,6.757739544,18.50827225,0.248299996,
49.63288829,6.760295868,18.62445846,0.248849996,
49.74282533,6.707116604,18.70578714,0.249399996,
49.85290021,6.778997898,18.64769496,0.249949996,
49.96274039,6.657107353,18.68255064,0.250499996,
50.07291213,6.800727367,18.70578714,0.251049995,
50.18275604,6.751538754,18.77549849,0.251599995,
50.29282719,6.846941471,18.84520985,0.252149995,
50.40281266,6.810338974,18.86844635,0.252699995,
50.51283911,6.845932961,18.93815771,0.253249995,
50.62277615,6.888080597,18.93815771,0.253799995,
50.7328473,6.94073534,18.94977503,0.254349995,
50.84278435,6.881865025,18.96139607,0.254899995,
50.95286295,6.907489777,19.03110556,0.255449994,
51.06275156,6.826411724,19.1589091,0.255999994,
51.17291957,6.888735771,19.07758042,0.256549994,
51.28275976,6.892119884,19.19376291,0.257099994,
51.39283836,6.879362106,19.19376291,0.257649994,
51.50277168,6.98601675,19.20538396,0.258199994,
51.61284655,7.038286209,19.22862045,0.258749994,
51.7228283,6.930658817,19.30994913,0.259299994,
51.83281004,7.035499096,19.46099102,0.259849993,
51.94284022,6.886721134,19.34480481,0.260399993,
52.05286667,6.943740845,19.46099102,0.260949993,
52.16284841,7.053492069,19.46099102,0.261499993,
52.27283016,7.192281246,19.47260834,0.262049993,
52.38286033,7.074832439,19.5190832,0.262599993,
52.49279737,7.117776871,19.63526756,0.263149993,
52.60282382,7.11275816,19.63526756,0.263699992,
52.71280557,6.951761723,19.67012137,0.264249992,
52.82283947,7.202301025,19.71659623,0.264799992,
52.93282121,7.114212513,19.71659623,0.265349992,
53.04279923,7.187726974,19.73983459,0.265900008,
53.15282941,7.167956829,19.80954595,0.266450008,
53.26271802,7.221469402,19.90249194,0.267000008,
53.37284133,7.194375992,19.84439977,0.267549992,
53.48277837,7.179764748,19.9257303,0.268100007,
53.59284952,7.14869976,19.9257303,0.268649991,
53.70278656,7.331251144,19.9489668,0.269200007,
53.81286144,7.321741581,20.05353384,0.269749991,
53.92284319,7.305860996,20.00705898,0.270300007,
54.03282493,7.087744236,20.14648169,0.270849991,
54.14280668,7.331766129,20.12324519,0.271400007,
54.25288528,7.299870491,20.13486251,0.271949991,
54.36291173,7.459921837,20.16971819,0.272500006,
54.47289348,7.429710865,20.25104873,0.27304999,
54.58291993,7.425319672,20.29752173,0.273600006,
54.69280854,7.402904034,20.29752173,0.27414999,
54.80288714,7.539848328,20.3788504,0.274700006,
54.91282418,7.355840683,20.39046958,0.27524999,
55.02285063,7.382087708,20.43694444,0.275800006,
55.13287708,7.376237869,20.51827498,0.27634999,
55.24281412,7.458929539,20.5298923,0.276900005,
55.3528443,7.371869087,20.56474611,0.277449989,
55.46282604,7.471822739,20.63445933,0.278000005,
55.57276309,7.468250275,20.63445933,0.278549989,
55.68283424,7.474113464,20.68093233,0.279100005,
55.79277128,7.481297016,20.71578801,0.279649989,
55.90284616,7.525026798,20.73902451,0.280200005,
56.01273477,7.488112926,20.78549936,0.280749989,
56.12285435,7.521667004,20.86682804,0.281300004,
56.2328361,7.49826479,20.83197422,0.281849988,
56.34281784,7.598938465,20.93654126,0.282400004,
56.45285174,7.505260944,20.92492022,0.282949988,
56.56283349,7.614793777,20.94815858,0.283500004,
56.67290837,7.568122864,21.01786993,0.284049988,
56.78279325,7.68005991,21.06434293,0.284600004,
56.89282715,7.720513821,21.09919861,0.285149988,
57.0028536,7.741359234,21.13405429,0.285700003,
57.11279064,7.721819878,21.16890997,0.286249987,
57.2228618,7.829964638,21.20376565,0.286800003,
57.33279884,7.890612602,21.22700401,0.287349987,
57.44287372,7.774452209,21.2967135,0.287900003,
57.55281076,7.613488674,21.33156918,0.288449987,
57.66283721,7.833025455,21.35480568,0.289000003,
57.77286738,7.658051968,21.37804218,0.289549987,
57.88284913,7.943192959,21.40127867,0.290100002,
57.992924,7.933327198,21.47099189,0.290649986,
58.10290575,7.83957243,21.51746489,0.291200002,
58.21284279,7.959856987,21.56393789,0.291749986,
58.32291767,7.892639637,21.58717625,0.292300002,
58.43285471,7.942546368,21.61041275,0.292849986,
58.54288116,7.787828922,21.62203193,0.293400002,
58.6528182,7.942801952,21.65688761,0.293949986,
58.76293778,7.902331829,21.7033606,0.294500001,
58.87287483,8.000893593,21.76145278,0.295049985,
58.98285657,7.96435976,21.78469114,0.295600001,
59.09288302,8.027235031,21.81954496,0.296149985,
59.20286477,8.021151543,21.86601982,0.296700001,
59.31285024,8.028223038,21.87763713,0.297249985,
59.42278728,8.048668861,21.90087549,0.297800001,
59.53285843,8.119371414,21.94735035,0.298349984,
59.64279547,8.172531128,22.00544253,0.2989,
59.75282192,8.095720291,22.02867903,0.299449984,
59.86275896,8.18759346,22.00544253,0.3,
59.97283384,8.144899368,22.07515389,0.300550016,
60.08277088,8.030873299,22.08677121,0.3011,
60.19270793,8.08777523,22.13324606,0.301650016,
60.30282751,8.18859005,22.16809988,0.302199999,
60.41276082,8.234454155,22.20295742,0.302750015,
60.52274629,8.24303627,22.24943042,0.303299999,
60.63282117,8.245220184,22.24943042,0.303850015,
60.74270979,8.268169403,22.30752446,0.304399999,
60.85283309,8.310603142,22.31914178,0.304950015,
60.96271798,8.166822433,22.34237827,0.305499999,
61.07284129,8.382851601,22.36561663,0.306050014,
61.18282303,8.248013496,22.44694531,0.306599998,
61.29276007,8.342582703,22.49342017,0.307150014,
61.40283495,8.416807175,22.48180099,0.307699998,
61.51277199,8.443403244,22.55151235,0.308250014,
61.62284315,8.35436058,22.55151235,0.308799998,
61.73278019,8.458674431,22.59798534,0.309350014,
