Elongation,Force,?,Time
39.51608017,5.678160667,13.34965788,0.198266665
39.62606192,5.669054985,13.36127706,0.198816665
39.73608837,5.879245758,13.41936924,0.199366665
39.84611481,5.724053383,13.54717277,0.199916665
39.95605186,5.640359879,13.50069884,0.200466665
40.06608203,5.71435976,13.54717277,0.201016665
40.17606378,5.635899544,13.5704102,0.201566664
40.28600082,5.621465206,13.58202845,0.202116664
40.39607197,5.896221161,13.60526588,0.202666664
40.50591588,5.947150707,13.6749763,0.203216664
40.61603919,5.866429329,13.77954334,0.203766664
40.7259725,5.628014088,13.72145023,0.204316664
40.83600268,5.6781106,13.84925377,0.204866664
40.94598442,5.769639015,13.86087202,0.205416663
41.05601087,5.928002357,13.8724912,0.205966663
41.16604105,5.895198822,13.88410944,0.206516663
41.27602279,5.77011919,13.90734687,0.207066663
41.38605297,5.959396362,14.01191205,0.207616663
41.49603099,5.97544384,14.04676773,0.208166663
41.60615429,5.943288326,14.08162434,0.208716663
41.71604663,5.771907806,14.07000516,0.209266663
41.82616621,5.777659416,14.07000516,0.209816662
41.93609953,6.0155797,14.09324259,0.210366662
42.0461297,6.08710289,14.11647908,0.210916662
42.15615988,6.048796177,14.24428262,0.211466662
42.26604849,5.950893879,14.29075748,0.212016662
42.3761718,5.992311478,14.29075748,0.212566662
42.48605669,5.964947701,14.33723047,0.213116662
42.59613529,5.969178677,14.33723047,0.213666662
42.7060239,6.073200226,14.3604679,0.214216661
42.81605035,6.115309238,14.38370533,0.214766661
42.92608052,6.067132473,14.47665319,0.215316661
43.036066,6.065853596,14.59283847,0.215866661
43.14609244,6.137535572,14.55798279,0.216416661
43.25607419,6.055958748,14.63931147,0.216966661
43.36610064,6.034861088,14.61607497,0.217516661
43.47608238,6.094501019,14.62769322,0.218066661
43.58601943,6.238724709,14.63931147,0.21861666
43.6960943,6.265761375,14.72064108,0.21916666
43.80603135,6.154345512,14.83682636,0.21971666
43.9160578,6.101537704,14.77873418,0.22026666
44.02603954,6.11115551,14.81358893,0.22081666
44.13602501,6.20539093,14.87168204,0.22136666
44.24600676,6.246028423,14.94139247,0.22191666
44.35603321,6.259313107,14.97624908,0.22246666
44.46605965,6.184398174,14.99948464,0.223016659
44.5759967,6.270355701,15.0459595,0.223566659
44.68602687,6.349955082,15.06919693,0.224116659
44.79610175,6.363104343,15.12728911,0.224666659
44.90603507,6.36029768,15.17376304,0.225216659
45.01611367,6.243183136,15.18538222,0.225766659
45.12599856,6.342019081,15.22023696,0.226316675
45.23616657,6.382551193,15.23185521,0.226866674
45.34605891,6.435704231,15.24347439,0.227416674
45.45613378,6.496987343,15.25509264,0.227966674
45.56611553,6.417255402,15.31318482,0.228516674
45.67605257,6.43377924,15.46422578,0.229066674
45.78607902,6.500604153,15.44098835,0.229616674
45.89596763,6.411735058,15.46422578,0.230166674
